Grid_ID,row,col,lat,lon,Distance_to_Camp_km,Treatment_Status,Land_Frac,Forest_Frac,Tree_Cover_2000_mean,N_forest_px,Cumulative_Pre_Loss_2001_2016,Loss_any_frac_of_forest,Donor_Eligible,Reject_Reason,PreTrend_RMSE,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016
G099_015,99,15,21.3045,92.0395,17.02,spillover_excluded,0.394,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_016,99,16,21.3045,92.0485,16.35,spillover_excluded,0.94,0.275,14.8,357,0.0476,0.0476,,,,0.0,0.0,0.0,0.0,0.0,0.0112,0.0028,0.0,0.0,0.03361,0.0,0.0,0.0,0.0,0.0,0.0
G099_017,99,17,21.3045,92.0575,15.7,spillover_excluded,1.0,0.397,19.7,515,0.0233,0.0621,,,,0.0,0.0,0.0,0.0,0.0,0.00194,0.00388,0.0,0.0,0.01553,0.0,0.0,0.00194,0.0,0.0,0.0
G099_018,99,18,21.3045,92.0665,15.09,spillover_excluded,1.0,0.033,2.0,43,0.0,0.186,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_019,99,19,21.3045,92.0755,14.5,spillover_excluded,1.0,0.002,0.3,2,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_020,99,20,21.3045,92.0845,13.96,spillover_excluded,1.0,0.021,1.2,27,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_021,99,21,21.3045,92.0935,13.46,spillover_excluded,1.0,0.029,1.8,38,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_022,99,22,21.3045,92.1025,13.0,spillover_excluded,1.0,0.033,1.8,43,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_023,99,23,21.3045,92.1115,12.6,spillover_excluded,0.998,0.002,0.2,2,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_024,99,24,21.3045,92.1205,12.26,spillover_excluded,1.0,0.017,1.3,22,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
